ticket,profit,volume,balance,time,symbol
5454457664,-0.17,0.5,301.27,2025-09-27 22:27:52.511225,Volatility 25 Index
5454459034,-1.28,1.0,296.47,2025-09-27 22:31:18.443549,Volatility 25 Index
5454460765,0.97,2.0,295.49,2025-09-27 22:35:50.187270,Volatility 25 Index
5454463120,-0.19,1.0,292.59,2025-09-27 22:40:15.438832,Volatility 25 Index
5454660945,5.53,2.0,286.43,2025-09-28 08:51:03.608154,Volatility 25 Index
5454664132,2.7800000000000002,1.0,289.21,2025-09-28 09:09:07.242899,Volatility 25 Index
5454671817,-2.98,1.0,286.23,2025-09-28 09:17:39.832379,Volatility 25 Index
5454675290,5.77,2.0,292.0,2025-09-28 09:23:17.120763,Volatility 25 Index
5454677803,3.06,1.0,323.98,2025-09-28 09:31:13.629301,Volatility 25 Index
